"moto","arquivo","status","imagem"
"Dafra Apache Rtr 200","dafra-apache-rtr-200.html","atualizada_manual","https://source.unsplash.com/1600x900/?dafra,apache,rtr,200,motorcycle"
"Dafra Next 250","dafra-next-250.html","atualizada_lookup","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/General_Motors_%282021%29.svg/330px-General_Motors_%282021%29.svg.png"
"Dafra Nh 190","dafra-nh-190.html","atualizada_lookup","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/SYM_logo_of_Sanyang_Motor_20180408.svg/330px-SYM_logo_of_Sanyang_Motor_20180408.svg.png"
"Haojue Dk 150","haojue-dk-150.html","atualizada_manual","https://source.unsplash.com/1600x900/?haojue,dk,150,motorcycle"
"Haojue Dr 160","haojue-dr-160.html","atualizada_lookup","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Suzuki_logo_2025_%28vertical%29.svg/330px-Suzuki_logo_2025_%28vertical%29.svg.png"
"Haojue Nk 150","haojue-nk-150.html","atualizada_manual","https://source.unsplash.com/1600x900/?haojue,nk,150,motorcycle"
"Honda Biz 125","honda-biz-125.html","atualizada","https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Honda_BIZ_flex_12_2013_MGF_01.jpg/1920px-Honda_BIZ_flex_12_2013_MGF_01.jpg"
"Honda Bros 160","honda-bros-160.html","atualizada","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Catalog_of_Copyright_Entries_3D_Series_Vol_22_Pt_11B_%28IA_catalogofcop196832211libr%29.pdf/page1-960px-Catalog_of_Copyright_Entries_3D_Series_Vol_22_Pt_11B_%28IA_catalogofcop196832211libr%29.pdf.jpg"
"Honda Cb 300f","honda-cb-300f.html","atualizada_lookup","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/2010_Honda_CRF250R_at_the_2009_Seattle_International_Motorcycle_Show_2.jpg/330px-2010_Honda_CRF250R_at_the_2009_Seattle_International_Motorcycle_Show_2.jpg"
"Honda Cg 125","honda-cg-125.html","atualizada","https://upload.wikimedia.org/wikipedia/commons/a/aa/CG125_1.jpg"
"Honda Cg 160 Fan","honda-cg-160-fan.html","atualizada_lookup","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Four_Brazilian_full_flex-fuel_automoviles_05_2008.jpg/330px-Four_Brazilian_full_flex-fuel_automoviles_05_2008.jpg"
"Honda Cg 160 Start","honda-cg-160-start.html","atualizada","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Guantanamo_Bay_Gazette_--_2011-10-10.pdf/page1-1920px-Guantanamo_Bay_Gazette_--_2011-10-10.pdf.jpg"
"Honda Cg 160 Titan","honda-cg-160-titan.html","atualizada_lookup","https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Toranomon_Alcea_Tower_At_Day.jpg/330px-Toranomon_Alcea_Tower_At_Day.jpg"
